t 211Pb 211Bi 207Tl 207Pb
42.8 46 8 6 40
42.9 45 8 7 40
43.0 45 8 7 40
43.1 45 7 8 40
43.2 45 7 7 41
43.3 45 7 7 41
43.4 45 7 7 41
43.5 45 7 7 41
43.6 45 7 7 41
43.7 45 7 7 41
43.8 45 7 7 41
43.9 45 6 8 41
44.0 44 7 8 41
44.1 43 8 8 41
44.2 43 8 8 41
44.3 43 8 8 41
44.4 43 8 8 41
44.5 43 8 8 41
44.6 43 8 7 42
44.7 43 6 9 42
44.8 43 6 9 42
44.9 43 6 9 42
45.0 43 6 9 42
45.1 43 6 9 42
45.2 43 6 9 42
45.3 43 6 9 42
45.4 43 6 9 42
45.5 43 6 8 43
45.6 43 6 8 43
45.7 43 6 8 43
45.8 43 6 8 43
45.9 43 6 8 43
46.0 43 6 8 43
46.1 43 6 8 43
46.2 43 6 8 43
46.3 43 6 8 43
46.4 43 6 8 43
46.5 43 5 9 43
46.6 43 4 10 43
46.7 43 4 10 43
46.8 43 4 10 43
46.9 43 4 10 43
47.0 43 4 10 43
47.1 43 4 9 44
47.2 43 4 8 45
47.3 43 4 8 45
47.4 43 4 8 45
47.5 43 4 8 45
47.6 43 3 9 45
47.7 43 3 9 45
47.8 43 3 9 45
47.9 43 2 10 45
48.0 43 2 9 46
48.1 43 2 9 46
48.2 43 2 9 46
48.3 43 2 9 46
48.4 43 2 9 46
48.5 43 2 9 46
48.6 42 3 9 46
48.7 41 4 9 46
48.8 41 4 9 46
48.9 41 4 9 46
49.0 41 4 9 46
49.1 40 5 9 46
49.2 39 6 9 46
49.3 39 6 9 46
49.4 39 6 9 46
49.5 39 6 9 46
49.6 39 6 9 46
49.7 39 5 10 46
49.8 39 5 10 46
49.9 39 5 10 46
50.0 39 5 10 46
50.1 39 5 10 46
50.2 39 5 10 46
50.3 39 5 10 46
50.4 39 5 10 46
50.5 39 4 11 46
50.6 39 4 11 46
50.7 39 4 11 46
50.8 39 4 11 46
50.9 39 4 11 46
51.0 39 4 11 46
51.1 39 4 11 46
51.2 39 4 11 46
51.3 39 4 11 46
51.4 38 5 11 46
51.5 38 5 11 46
51.6 38 5 11 46
51.7 38 5 11 46
51.8 38 5 11 46
51.9 38 5 11 46
52.0 38 5 11 46
52.1 38 5 11 46
52.2 38 5 11 46
52.3 38 5 11 46
52.4 38 5 11 46
52.5 38 5 11 46
52.6 38 5 10 47
52.7 38 5 10 47
52.8 37 6 10 47
52.9 37 6 10 47
53.0 37 5 11 47
53.1 37 5 11 47
53.2 37 5 11 47
53.3 36 6 11 47
53.4 36 6 11 47
53.5 35 5 13 47
53.6 35 5 13 47
53.7 35 4 14 47
53.8 35 4 14 47
53.9 35 4 14 47
54.0 35 4 14 47
54.1 35 2 16 47
54.2 35 2 16 47
54.3 35 2 16 47
54.4 35 2 16 47
54.5 34 3 16 47
54.6 33 4 16 47
54.7 33 4 16 47
54.8 33 4 16 47
54.9 33 4 16 47
55.0 33 3 17 47
