t 211Pb 211Bi 207Tl 207Pb
19.6 60 7 12 21
19.6 60 7 11 22
19.6 60 7 11 22
19.7 60 7 11 22
19.7 60 7 11 22
19.7 60 7 11 22
19.7 60 7 10 23
19.8 60 7 10 23
19.8 60 7 10 23
19.8 60 7 10 23
19.8 60 7 10 23
19.9 60 7 10 23
19.9 60 7 10 23
19.9 60 7 10 23
19.9 60 7 10 23
20.0 60 6 11 23
20.0 60 6 11 23
20.0 60 6 11 23
20.0 60 6 11 23
20.1 60 6 11 23
20.1 60 6 11 23
20.1 60 6 11 23
20.1 60 6 11 23
20.2 60 6 11 23
20.2 60 6 11 23
20.2 60 6 11 23
20.2 59 7 11 23
20.3 59 7 11 23
20.3 59 7 11 23
20.3 59 7 10 24
20.3 59 7 10 24
20.4 59 7 10 24
20.4 59 7 10 24
20.4 59 7 10 24
20.4 58 8 10 24
20.5 58 8 10 24
20.5 58 8 10 24
20.5 58 8 10 24
20.5 58 8 10 24
20.6 58 8 10 24
20.6 58 8 10 24
20.6 58 8 10 24
20.6 58 8 10 24
20.7 58 8 10 24
20.7 58 8 10 24
20.7 58 8 10 24
20.7 58 8 10 24
20.8 58 8 10 24
20.8 58 8 10 24
20.8 58 8 10 24
20.8 58 8 10 24
20.9 58 8 10 24
20.9 58 8 10 24
20.9 58 8 10 24
20.9 58 8 10 24
21.0 58 8 10 24
21.0 58 8 10 24
21.0 58 8 10 24
21.0 58 8 10 24
21.1 58 8 10 24
21.1 58 8 10 24
21.1 58 7 11 24
21.1 58 7 11 24
21.2 57 8 11 24
21.2 57 8 11 24
21.2 57 8 11 24
21.2 57 8 11 24
21.3 57 8 11 24
21.3 57 8 11 24
21.3 57 8 11 24
21.3 57 8 11 24
21.4 57 8 11 24
21.4 57 8 11 24
21.4 57 8 11 24
21.4 57 8 11 24
21.5 57 8 11 24
21.5 57 8 11 24
21.5 57 8 11 24
21.5 57 8 11 24
21.6 57 8 11 24
21.6 56 9 11 24
21.6 56 9 11 24
21.6 56 9 11 24
21.7 56 9 11 24
21.7 56 9 10 25
21.7 56 9 10 25
21.7 56 9 10 25
21.8 56 9 10 25
21.8 56 9 10 25
21.8 55 10 10 25
21.8 55 10 10 25
21.9 55 10 10 25
21.9 55 10 9 26
21.9 55 10 9 26
21.9 55 10 9 26
22.0 55 10 9 26
22.0 55 10 9 26
22.0 55 10 9 26
22.0 55 10 9 26
22.1 55 10 9 26
22.1 55 10 9 26
22.1 55 10 9 26
22.1 55 10 9 26
22.2 55 10 9 26
22.2 55 10 9 26
22.2 55 10 9 26
22.2 55 10 9 26
22.3 55 10 9 26
22.3 55 10 9 26
22.3 55 10 9 26
22.3 55 10 9 26
22.4 54 11 9 26
22.4 54 11 9 26
22.4 54 11 9 26
22.4 54 11 9 26
22.5 54 10 10 26
22.5 54 9 11 26
22.5 54 9 11 26
22.5 54 9 11 26
22.6 54 9 11 26
22.6 54 9 11 26
22.6 54 9 11 26
22.6 54 9 11 26
22.7 54 9 11 26
22.7 54 9 11 26
22.7 54 9 11 26
22.7 54 9 11 26
22.8 54 9 11 26
22.8 54 9 11 26
22.8 53 10 11 26
22.8 53 10 11 26
22.9 53 10 11 26
22.9 53 10 11 26
22.9 53 10 11 26
22.9 53 10 11 26
23.0 53 10 11 26
23.0 53 10 11 26
23.0 53 10 11 26
23.0 53 10 11 26
23.1 53 10 11 26
23.1 53 10 11 26
23.1 53 10 11 26
23.1 53 10 11 26
23.2 53 9 12 26
23.2 53 9 12 26
23.2 53 9 12 26
23.2 53 9 12 26
23.3 53 9 12 26
